MODEL,domain,scenario,TIME_STEP,rur_attr,environmental_attr,economy_attr,social_attr,anthropic_attr,broadband_infrastructure_population_covered,workforce_specialization,farms,tourist_visitors,Natural_Capital,proportion_of_newcomers,shared_knowledge,social_innovation,proportion_INFANTS,proportion_ELDERLY_POPULATION,proportion_SCHOOL_AGE_POPULATION,proportion_POST_SCHOOL_POPULATION,proportion_WORKING_AGE_POPULATION,proportion_NEWCOMERS
Apulia,INFR,INFR mix,2031.75,0.5022351321281617,0.3499381853055157,0.718484249505897,0.3820967335849754,0.8125234345706762,0.8125234345706762,0.42995962765329315,1.0,1.0,0.3499381853055157,0.37056102782153316,0.8909011369828784,0.759093842857381,0.0,1.0,0.0,0.0,0.04775356678145327,0.37056102782153316
Apulia,INFR,INFR mix,2032.0,0.5004074545120656,0.34802490795867436,0.7154302956828321,0.38095032052830624,0.7999999999999974,0.7999999999999974,0.4291265704554885,1.0,1.0,0.34802490795867436,0.3721572143590081,0.8853974629265342,0.7564288588777018,0.0,1.0,0.0,0.0,0.042412134232504374,0.3721572143590081
Apulia,INFR,INFR mix,2032.25,0.49946780132288654,0.34613681748233,0.7148873707049156,0.3797902627773149,0.7999999999999974,0.7999999999999974,0.4283000360422506,1.0,1.0,0.34613681748233,0.3736457230164556,0.8798799321806456,0.7537890482346016,0.0,1.0,0.0,0.0,0.03715193854767587,0.3736457230164556
Apulia,INFR,INFR mix,2032.5,0.4985239277613669,0.34427330150831087,0.7143506371867003,0.3786202003028484,0.7999999999999974,0.7999999999999974,0.4274798844251934,1.0,1.0,0.34427330150831087,0.37503154730383004,0.8743720651550139,0.7511763558733848,0.0,1.0,0.0,0.0,0.031970287089576346,0.37503154730383004
Apulia,INFR,INFR mix,2032.75,0.4975783119662579,0.34243380084648256,0.7138199570779459,0.37744406468198677,0.7999999999999974,0.7999999999999974,0.426665984543249,1.0,1.0,0.34243380084648256,0.3763227358475594,0.8688941097334095,0.7485924222019007,0.0,1.0,0.0,0.0,0.02686457850745235,0.3763227358475594
Apulia,INFR,INFR mix,2033.0,0.4966330298780313,0.34061780240870454,0.7132953617563496,0.3762650677234101,0.7999999999999974,0.7999999999999974,0.42585900637304575,1.0,1.0,0.34061780240870454,0.3775266426468703,0.8634634377659375,0.7460386328283468,0.0,1.0,0.0,0.0,0.0218302536226659,0.3775266426468703
Apulia,INFR,INFR mix,2033.25,0.4956898851401001,0.33882463612623037,0.7127768602379334,0.3750860100857483,0.7999999999999974,0.7999999999999974,0.42505966506343856,1.0,1.0,0.33882463612623037,0.3786500209456682,0.8580948918821334,0.7435161597616095,0.0,1.0,0.0,0.0,0.01686299723665578,0.3786500209456682
Apulia,INFR,INFR mix,2033.5,0.49475051807218023,0.33705327602703655,0.7122642308301372,0.373909566539982,0.7999999999999974,0.7999999999999974,0.4242678781236525,1.0,1.0,0.33705327602703655,0.3796990793156515,0.8528010878131416,0.7410259951153728,0.0,1.0,0.0,0.0,0.011960857300020455,0.3796990793156515
Apulia,INFR,INFR mix,2033.75,0.49381595051135835,0.3352971135617812,0.7117561362505882,0.3727380695451196,0.7999999999999974,0.7999999999999974,0.42348356769116263,1.0,1.0,0.3352971135617812,0.38067952019971935,0.847592681388622,0.738568979151601,0.0,1.0,0.0,0.0,0.007121924966414064,0.38067952019971935
Apulia,INFR,INFR mix,2034.0,0.4928874749880436,0.333555629555486,0.7112524579529276,0.3715735955631081,0.7999999999999974,0.7999999999999974,0.42270666020915454,1.0,1.0,0.333555629555486,0.3815965010252671,0.842478605525466,0.7361458237732029,0.0,1.0,0.0,0.0,0.0023449287187693848,0.3815965010252671
