TIME_STEP,farms,Natural_Capital,NEWCOMERS,broadband_infrastructure_population_covered,proportion_of_newcomers,shared_knowledge,social_innovation,tourist_visitors,workforce_specialization,INFANTS,ELDERLY_POPULATION,SCHOOL_AGE_POPULATION,POST_SCHOOL_POPULATION,WORKING_AGE_POPULATION,WORKING_AGE_RURAL_POPULATION,total_rural_population,MODEL,scenario,proportion_INFANTS,proportion_ELDERLY_POPULATION,proportion_SCHOOL_AGE_POPULATION,proportion_POST_SCHOOL_POPULATION,proportion_WORKING_AGE_POPULATION,proportion_NEWCOMERS,domain
2026.25,2765.6362711928396,25261.461369472778,92332.37794857517,83.375,0.28358614306504826,1.9896923203745231,0.12391999033604499,1282637.188469141,0.08097979399841877,14985.119801826748,86452.47015140351,33334.99031988759,24145.608284404225,166670.27973162208,166670.27973162208,325588.46828914416,Hame,INFR Focus Broadband,0.046024725263054976,0.26552681858077354,0.10238381750757802,0.0741599001072769,0.5119047385413166,0.28358614306504826,INFR
2026.5,2746.3649736803845,25149.676787730197,92729.94254344473,84.25,0.2853251049701531,1.9578644572025377,0.12430970158332419,1275800.0221393867,0.08168639736952714,14938.578844519849,86323.01511016795,33203.815024978045,24082.508863915245,166449.57073403604,166449.57073403604,324997.4885776171,Hame,INFR Focus Broadband,0.04596521317718479,0.2656113297612513,0.10216637417814442,0.07410059988252424,0.5121564830008953,0.2853251049701531,INFR
2026.75,2727.244613086062,25039.529166856388,93103.55580025198,85.125,0.28700799314606323,1.9280725109546475,0.1247209153421398,1268796.7888163074,0.08238563336288315,14892.823199647642,86188.61064136823,33073.12874102654,24016.239224508514,166222.79706046742,166222.79706046742,324393.59886701836,Hame,INFR Focus Broadband,0.04590973204052893,0.2656914653753705,0.10195370332996155,0.07403425748346444,0.5124108417706745,0.28700799314606323,INFR
2027.0,2708.274853474176,24930.99142901792,93454.21704889317,86.0,0.28863733099630595,1.9001629965006848,0.1251516646312435,1261652.3522964409,0.08307757742364025,14847.79777200433,86049.43541063069,32942.985610611635,23947.00185094576,165990.0839972825,165990.0839972825,323777.30464147485,Hame,INFR Focus Broadband,0.04585805601305378,0.26576734742391833,0.1017458146026945,0.07396133548477944,0.5126674464755541,0.28863733099630595,INFR
2027.25,2689.455321255846,24824.03669116838,93782.87608717513,86.875,0.2902161513811254,1.8739944062450085,0.12559995554347683,1254389.3118890862,0.08376220098147628,14803.418095429573,85905.65989844802,32813.36909492478,23874.96387629937,165750.9584170526,165750.9584170526,323148.3693821544,Hame,INFR Focus Broadband,0.04580997305891738,0.26583968244276124,0.10154273455769719,0.07388235912174727,0.5129252508188769,0.2902161513811254,INFR
2027.5,2670.7857310346003,24718.638307241505,94090.43632562638,87.75,0.2917468166288944,1.8494361328104942,0.12606405369626197,1247028.1931793634,0.08443956779514723,14759.632014100831,85757.42584460582,32684.316011955347,23800.30259670257,165505.4802955851,165505.4802955851,322507.15676294966,Hame,INFR Focus Broadband,0.045765285217994424,0.26590859782885234,0.10134446732907415,0.0737977502130173,0.5131838994110618,0.2917468166288944,INFR
2027.75,2652.2670664260104,24614.770177206887,94377.76025571514,88.625,0.29323188079108514,1.8263677242230572,0.12654231318585768,1239587.623116268,0.08510972385349641,14716.384837518792,85604.6931794419,32555.847685567293,23723.14655160503,165253.60887051647,165253.60887051647,321853.6811246495,Hame,INFR Focus Broadband,0.045723835707255245,0.2659739446829207,0.10115108073894878,0.07370786150001306,0.5134432773708623,0.29323188079108514,INFR
2028.0,2633.8987280511456,24512.409200073198,94645.6727272874,89.5,0.2946733713311979,1.8046780202619184,0.12703324457327023,1232084.4922288896,0.08577274831947396,14673.634420170922,85447.62194616476,32428.00168185767,23643.667583690192,164995.48816920765,164995.48816920765,321188.4138010912,Hame,INFR Focus Broadband,0.045685441285121066,0.26603581659418646,0.10096255122683226,0.07361307745780793,0.5137031134360522,0.2946733713311979,INFR
2028.25,2615.680098500811,24411.529356403335,94894.96541606307,90.375,0.2960729787796909,1.7842645054805741,0.12753552027299608,1224534.1170571242,0.086428760700244,14631.353532435067,85286.36503661382,32300.835980813565,23562.038465229536,164731.48413286952,164731.48413286952,320512.07714796154,Hame,INFR Focus Broadband,0.04564992889700263,0.26609407606578933,0.10077884199634128,0.07351373051179076,0.5139634225290759,0.2960729787796909,INFR
2028.5,2597.610543679882,24312.105007472084,95126.40027249395,91.25,0.2974324442728718,1.7650326736571118,0.12804787790035171,1216539.2324890054,0.08707785914211591,14589.510866276207,85121.07032683816,32174.39159777565,23478.41853364186,164461.8399310828,164461.8399310828,319825.23125561466,Hame,INFR Focus Broadband,0.04561713536170571,0.26614870250435824,0.1005999166215277,0.07341015104238961,0.5142240944700188,0.2974324442728718,INFR
2028.75,2579.6894136700466,24214.115736463762,95340.71182591317,92.125,0.2987535492249839,1.746895365070445,0.1285691197828901,1208096.6120578505,0.08772012406857925,14548.072127430374,84951.8801531133,32048.69530692621,23392.95200230206,164186.69887979518,164186.69887979518,319128.2984695671,Hame,INFR Focus Broadband,0.045586907200640236,0.26619977156684066,0.10042573930491613,0.07330265637515337,0.5144849255524497,0.2987535492249839,INFR
2029.0,2561.9160431390387,24117.541590054032,95538.60917344487,93.0,0.30003800607737036,1.7297721605541507,0.129098134851541,1199260.752163022,0.08835563699939354,14507.005590051525,84778.93104754624,31923.77127602335,23305.77418275081,163906.20861706548,163906.20861706548,318421.6907134374,Hame,INFR Focus Broadband,0.04555909981367149,0.26624734909734143,0.1002562708730576,0.07319154084802838,0.5147457393679011,0.30003800607737036,INFR
2029.25,2544.28975207913,24022.362394496347,95720.7776108358,93.875,0.30128762459978037,1.7135888470135867,0.1296338537400267,1190081.3432414872,0.08898445332463364,14466.273974910859,84602.35416190543,31799.625322310585,23217.01145817188,163620.37512678807,163620.37512678807,317705.64004408685,Hame,INFR Focus Broadband,0.04553357621508836,0.26629163445183246,0.10009147246456773,0.07307711457357238,0.515006202294939,0.30128762459978037,INFR
2029.5,2526.809846315722,23928.557810786795,95887.87881911937,94.75,0.3025041819259806,1.69827689384737,0.13017527598156325,1180603.6693378768,0.0896066245807282,14425.84101109953,84422.27453938051,31676.258466399464,23126.782012173648,163329.18522977302,163329.18522977302,316980.3412588262,Hame,INFR Focus Broadband,0.04551020720657341,0.26633284008753905,0.09993130280762309,0.07295967289431925,0.5152659770039452,0.3025041819259806,INFR
2029.75,2509.475618089481,23836.107389427325,96040.55087926454,95.625,0.3036891913556813,1.6837729981581313,0.1307215199797443,1170868.9749379687,0.09022223620996694,14385.682274626,84238.81131515592,31553.68904916405,23035.204557115252,163032.80665277314,163032.80665277314,316246.1938488344,Hame,INFR Focus Broadband,0.045488870868442305,0.26637098865898784,0.0997757116540878,0.07283946812693048,0.5155249606915516,0.3036891913556813,INFR
2030.0,2492.286346873465,23744.99062976581,96179.40873064034,96.5,0.3048441040907116,1.6700187117891663,0.1312717707433209,1160914.8017861205,0.09083137421642347,14345.775312226679,84052.0794250108,31431.9334123013,22942.391072633214,162731.40913661907,162731.40913661907,315503.5883587911,Hame,INFR Focus Broadband,0.0454694521442737,0.2664060965589611,0.09962464634968546,0.07271673578096709,0.5157830691661126,0.3048441040907116,INFR
2030.25,2475.241299902199,23655.18702497311,96305.04447014238,97.375,0.3059703107357866,1.6569600586706785,0.13182527550912354,1150775.2982312213,0.09143412500902096,14306.099497003526,83862.1898937949,31311.005997133783,22848.44703183476,162425.16363360602,162425.16363360602,314752.90605337295,Hame,INFR Focus Broadband,0.04545184245122626,0.2664381750920969,0.0994780521321838,0.07259169523905945,0.5160402350854337,0.3059703107357866,INFR
2030.5,2458.326262952561,23588.439939321896,96418.02791385562,98.25,0.3070691433021769,1.644547182971713,0.13238133966473456,1140481.5032408454,0.09203057528366589,14266.635901960715,83669.25009745172,31190.919456463977,22753.471694846747,162114.24172860867,162114.24172860867,313994.5188793318,Hame,INFR Focus Broadband,0.04543593930518063,0.26646723132643546,0.099335872383335,0.07246455057895744,0.5162964064060915,0.3070691433021769,INFR
